"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSRNOG00000001796"	1675.04413919332	-1.14226866140971	0.160147318853365	-7.13261183258151	9.84820016017632e-13	1.52116156039315e-10
"ENSRNOG00000053550"	1936.01007093228	-0.542509712854693	0.0761362320340822	-7.12551302265445	1.03693726568245e-12	1.58785488364804e-10
"ENSRNOG00000028985"	4374.69044969953	-0.818943677887725	0.115424628143944	-7.0950514726063	1.29303351028731e-12	1.96309010625927e-10
"ENSRNOG00000016149"	227.891221060584	0.714789935207047	0.100945396954796	7.08095620771232	1.43163142496709e-12	2.15509059336359e-10
"ENSRNOG00000022323"	254.455507361566	0.526529273338088	0.0749545583850496	7.0246464615701	2.1460895344534e-12	3.20344440340301e-10
"ENSRNOG00000054964"	157.759050423931	-1.15281265962641	0.165265109693656	-6.97553562130157	3.04707660259977e-12	4.51043514099831e-10
"ENSRNOG00000057557"	223.001387142445	0.69052681450606	0.0992755982543836	6.95565503152804	3.50927624770726e-12	5.15167553620034e-10
"ENSRNOG00000050767"	14.7424662981557	2.45465493499902	0.354673143206295	6.92089317169212	4.48804851513738e-12	6.53452506347421e-10
"ENSRNOG00000000487"	24.095349021902	2.81446538802974	0.411658013776642	6.83690173357543	8.0924208575076e-12	1.16866399749518e-09
"ENSRNOG00000002167"	12.3969944458198	-2.82717447374577	0.413921994204866	-6.83021079654562	8.47899486024178e-12	1.21461601372964e-09
"ENSRNOG00000027690"	339.640998134853	0.48826633320225	0.0717793007005023	6.80232780811744	1.02942024784532e-11	1.46284734899812e-09
"ENSRNOG00000001333"	396.716268053221	-1.32732414751071	0.195361868286159	-6.79418229951862	1.08928575294188e-11	1.53563355789735e-09
"ENSRNOG00000059367"	12.2581148038641	2.88094381530257	0.425154552191705	6.77622714010959	1.23354695349563e-11	1.72531453031046e-09
"ENSRNOG00000014496"	267.806409534839	0.74920581250938	0.110655089466996	6.77064033943817	1.2821364562514e-11	1.77926483378075e-09
"ENSRNOG00000017434"	883.47006921575	-0.772570454313798	0.115370131857564	-6.69645116872719	2.13541759750935e-11	2.92544695183599e-09
"ENSRNOG00000019626"	7.67592824318931	-6.35203651435461	0.94862178324288	-6.69606857713098	2.14101280042041e-11	2.92544695183599e-09
"ENSRNOG00000008526"	222.834027150363	-0.614633854938128	0.0923582657970634	-6.65488735235293	2.83517115861621e-11	3.78655227748118e-09
"ENSRNOG00000018126"	735.846651426756	-0.618093746748054	0.0928647568944156	-6.65584843398457	2.81670408188194e-11	3.78655227748118e-09
"ENSRNOG00000022273"	599.421027384886	0.566017800131999	0.0850462051036787	6.65541512924621	2.82501536320935e-11	3.78655227748118e-09
"ENSRNOG00000008336"	180.86303922153	-1.35396533951943	0.205579017261658	-6.58610668323275	4.51509454376128e-11	5.94086106524679e-09
"ENSRNOG00000033502"	19.4563085778311	-5.80246630156612	0.881014539250343	-6.58611866553695	4.5147303684042e-11	5.94086106524679e-09
"ENSRNOG00000045560"	281.15039870923	0.66869819865556	0.101560795832916	6.5842158204006	4.57292467115526e-11	5.97271036277432e-09
"ENSRNOG00000021602"	49.9941428192709	-1.32887770325232	0.202044020992687	-6.57716915711363	4.79489186468624e-11	6.21690979506727e-09
"ENSRNOG00000040215"	327.376910447553	-1.60327914272093	0.243840753569972	-6.57510739795534	4.86180627929047e-11	6.25799021297367e-09
"ENSRNOG00000028619"	96.4421182622304	0.829222952399637	0.126692335729721	6.54517061054632	5.94275025925521e-11	7.59432178814031e-09
"ENSRNOG00000021573"	2981.45892797421	0.442976013218621	0.0677851375605792	6.53500205443613	6.36086681671952e-11	8.07057694752778e-09
"ENSRNOG00000014143"	1052.14178141724	-1.1720665184457	0.179474153225693	-6.53055884304298	6.55247377072243e-11	8.25472280775478e-09
"ENSRNOG00000050703"	31.0621795832735	-1.40881017348135	0.215836784098788	-6.52720146551363	6.70098882937878e-11	8.38237074480671e-09
"ENSRNOG00000053746"	216.368035757111	-3.15817122997362	0.485226132497222	-6.50865857887756	7.58248377204765e-11	9.41871742957219e-09
